S.No,Question,Answer,Specification,Time
1,"Question 1","c",N/A,N/A
2,"Question 2","dfd",N/A,N/A
3,"Question 3","dd",N/A,N/A
4,"Question 4","Female",N/A,N/A
5,"Question 5","Basic",N/A,N/A
6,"Question 6","Undergraduate",N/A,N/A
7,"Question 7","ICSE",N/A,N/A
8,"Question 8","ICSE",N/A,N/A
9,"Question 9","Youngest Child",N/A,N/A
10,"Question 10","dfd",N/A,N/A
11,"Question 11","Below 2 Lakhs (per annum)",N/A,N/A
12,"Question 12","Joint",N/A,N/A
13,"Question 13","Mother - dfd Father : sdd",N/A,N/A
14,"Question 14","Yes, very often",N/A,N/A
15,"Question 15","Yes",dfd,N/A
16,"Question 16","dfdf",N/A,50 seconds
