S.No,Statement,Score,Time
1,"Question 1",4,155 seconds
2,"Question 2",5,155 seconds
3,"Question 3",5,155 seconds
4,"Question 4",5,155 seconds
5,"Question 5",5,155 seconds
6,"Question 6",5,155 seconds
7,"Question 7",5,155 seconds
8,"Question 8",5,155 seconds
9,"Question 9",1,155 seconds
10,"Question 10",1,155 seconds
11,"Question 11",5,155 seconds
12,"Question 12",1,155 seconds
13,"Question 13",5,155 seconds
14,"Question 14",1,155 seconds
15,"Question 15",1,155 seconds
16,"Question 16",5,155 seconds
17,"Question 17",5,155 seconds
18,"Question 18",5,155 seconds
19,"Question 19",1,155 seconds
20,"Question 20",1,155 seconds
21,"Question 21",1,155 seconds
22,"Question 22",5,155 seconds
23,"Question 23",5,155 seconds
24,"Question 24",1,155 seconds
25,"Question 25",5,155 seconds
26,"Question 26",1,155 seconds
27,"Question 27",5,155 seconds
28,"Question 28",1,155 seconds
29,"Question 29",5,155 seconds
30,"Question 30",1,155 seconds
31,"Question 31",1,155 seconds
32,"Question 32",1,155 seconds
33,"Question 33",5,155 seconds
34,"Question 34",5,155 seconds
35,"Question 35",1,155 seconds
36,"Question 36",5,155 seconds
37,"Question 37",5,155 seconds
38,"Question 38",5,155 seconds
39,"Question 39",5,155 seconds
40,"Question 40",5,155 seconds
41,"Question 41",1,155 seconds
42,"Question 42",1,155 seconds
43,"Question 43",5,155 seconds
44,"Question 44",1,155 seconds
45,"Question 45",5,155 seconds
46,"Question 46",1,155 seconds
47,"Question 47",5,155 seconds
48,"Question 48",1,155 seconds
49,"Question 49",1,155 seconds
50,"Question 50",5,155 seconds
51,"Question 51",5,155 seconds
52,"Question 52",1,155 seconds
53,"Question 53",1,155 seconds
54,"Question 54",5,155 seconds
55,"Question 55",1,155 seconds
56,"Question 56",1,155 seconds
57,"Question 57",1,155 seconds
58,"Question 58",5,155 seconds
59,"Question 59",1,155 seconds
60,"Question 60",1,155 seconds
