S.No,Statement,Score,Time
1,"Question 1",1,Set 1: 9 seconds, Set 2: 11 seconds, Set 3: 11 seconds, Total: 30 seconds
2,"Question 2",0,Set 1: 9 seconds, Set 2: 11 seconds, Set 3: 11 seconds, Total: 30 seconds
3,"Question 3",1,Set 1: 9 seconds, Set 2: 11 seconds, Set 3: 11 seconds, Total: 30 seconds
4,"Question 4",0,Set 1: 9 seconds, Set 2: 11 seconds, Set 3: 11 seconds, Total: 30 seconds
5,"Question 5",0,Set 1: 9 seconds, Set 2: 11 seconds, Set 3: 11 seconds, Total: 30 seconds
6,"Question 6",0,Set 1: 9 seconds, Set 2: 11 seconds, Set 3: 11 seconds, Total: 30 seconds
7,"Question 7",0,Set 1: 9 seconds, Set 2: 11 seconds, Set 3: 11 seconds, Total: 30 seconds
8,"Question 8",0,Set 1: 9 seconds, Set 2: 11 seconds, Set 3: 11 seconds, Total: 30 seconds
9,"Question 9",1,Set 1: 9 seconds, Set 2: 11 seconds, Set 3: 11 seconds, Total: 30 seconds
10,"Question 10",0,Set 1: 9 seconds, Set 2: 11 seconds, Set 3: 11 seconds, Total: 30 seconds
11,"Question 11",1,Set 1: 9 seconds, Set 2: 11 seconds, Set 3: 11 seconds, Total: 30 seconds
12,"Question 12",1,Set 1: 9 seconds, Set 2: 11 seconds, Set 3: 11 seconds, Total: 30 seconds
13,"Question 1",1,12 seconds
14,"Question 2",2,12 seconds
15,"Question 3",3,12 seconds
16,"Question 4",3,12 seconds
17,"Question 5",4,12 seconds
