S.No,Statement,Score,Time
1,"Question 1",0,Set 1: 8 seconds, Set 2: 8 seconds, Set 3: 9 seconds, Total: 26 seconds
2,"Question 2",1,Set 1: 8 seconds, Set 2: 8 seconds, Set 3: 9 seconds, Total: 26 seconds
3,"Question 3",0,Set 1: 8 seconds, Set 2: 8 seconds, Set 3: 9 seconds, Total: 26 seconds
4,"Question 4",1,Set 1: 8 seconds, Set 2: 8 seconds, Set 3: 9 seconds, Total: 26 seconds
5,"Question 5",1,Set 1: 8 seconds, Set 2: 8 seconds, Set 3: 9 seconds, Total: 26 seconds
6,"Question 6",0,Set 1: 8 seconds, Set 2: 8 seconds, Set 3: 9 seconds, Total: 26 seconds
7,"Question 7",1,Set 1: 8 seconds, Set 2: 8 seconds, Set 3: 9 seconds, Total: 26 seconds
8,"Question 8",1,Set 1: 8 seconds, Set 2: 8 seconds, Set 3: 9 seconds, Total: 26 seconds
9,"Question 9",1,Set 1: 8 seconds, Set 2: 8 seconds, Set 3: 9 seconds, Total: 26 seconds
10,"Question 10",0,Set 1: 8 seconds, Set 2: 8 seconds, Set 3: 9 seconds, Total: 26 seconds
11,"Question 11",0,Set 1: 8 seconds, Set 2: 8 seconds, Set 3: 9 seconds, Total: 26 seconds
12,"Question 12",0,Set 1: 8 seconds, Set 2: 8 seconds, Set 3: 9 seconds, Total: 26 seconds
13,"Question 1",1,12 seconds
14,"Question 2",3,12 seconds
15,"Question 3",4,12 seconds
16,"Question 4",2,12 seconds
17,"Question 5",2,12 seconds
